Quantity,Discount,Profit,Shipping Cost,Month,Year,Day_of_Week,Is_Weekend,Total_sales,Day_of_Month,Order Priority_Encoded,Ship Mode_Encoded,Market_Encoded,Category_Encoded,Sub-Category_Encoded
7,0.0,762.1845,26.375915188145832,7,2012,1,0,1205.3279873285242,31,0,1,6,2,0
9,0.1,-288.765,26.375915188145832,2,2013,1,0,1205.3279873285242,5,0,2,0,0,5
9,0.1,919.971,26.375915188145832,10,2013,3,0,1205.3279873285242,17,3,0,0,2,13
5,0.1,-96.54,26.375915188145832,1,2013,0,0,1205.3279873285242,28,3,0,4,2,13
8,0.0,311.52,26.375915188145832,11,2013,1,0,1205.3279873285242,5,0,1,1,2,6
5,0.1,763.275,26.375915188145832,6,2013,4,0,1205.3279873285242,28,0,2,0,2,13
4,0.0,564.84,26.375915188145832,11,2011,0,0,1205.3279873285242,7,0,0,0,0,5
6,0.0,996.48,26.375915188145832,4,2012,5,1,1205.3279873285242,14,1,3,0,0,16
5,0.2,1906.485,26.375915188145832,10,2014,1,0,1205.3279873285242,14,2,3,6,1,3
13,0.4,-1862.3124,26.375915188145832,1,2012,5,1,1205.3279873285242,28,0,2,6,0,16
5,0.0,83.281,26.375915188145832,4,2011,1,0,1205.3279873285242,5,1,2,6,1,15
5,0.0,647.55,26.375915188145832,4,2012,3,0,1205.3279873285242,19,1,0,0,0,16
4,0.0,1151.4,26.375915188145832,12,2011,1,0,1205.3279873285242,27,0,2,3,2,13
7,0.0,622.02,26.375915188145832,11,2012,1,0,1205.3279873285242,13,0,1,5,0,5
12,0.0,1036.08,26.375915188145832,6,2013,3,0,1205.3279873285242,6,0,2,0,1,1
4,0.1,186.948,26.375915188145832,7,2014,3,0,1205.3279873285242,31,0,2,4,1,1
9,0.0,517.4793,26.375915188145832,11,2014,0,0,1205.3279873285242,3,0,2,6,2,0
14,0.0,3979.08,26.375915188145832,9,2014,0,0,1205.3279873285242,8,2,3,4,1,1
9,0.1,28.404,26.375915188145832,1,2014,4,0,1205.3279873285242,31,0,0,0,2,6
6,0.0,818.28,26.375915188145832,12,2014,4,0,1205.3279873285242,5,1,2,1,1,1
4,0.0,276.84,26.375915188145832,8,2012,2,0,1205.3279873285242,8,0,0,3,0,16
6,0.2,341.994,26.375915188145832,10,2011,5,1,1205.3279873285242,29,1,0,6,2,13
6,0.0,358.02,26.375915188145832,5,2011,0,0,1205.3279873285242,2,0,0,0,0,5
10,0.0,1898.4,26.375915188145832,2,2013,2,0,1205.3279873285242,27,1,2,4,1,1
4,0.0,445.52,26.375915188145832,7,2014,3,0,1205.3279873285242,31,0,0,5,2,13
8,0.2,526.496,26.375915188145832,9,2014,4,0,1205.3279873285242,5,0,0,5,0,16
2,0.0,720.36,26.375915188145832,12,2011,5,1,1205.3279873285242,17,0,0,0,0,16
6,0.1,1364.238,26.375915188145832,3,2011,0,0,1205.3279873285242,14,0,2,4,1,1
8,0.2,363.9048,26.375915188145832,3,2013,0,0,1205.3279873285242,11,1,0,6,2,13
4,0.0,582.36,26.375915188145832,2,2012,5,1,1205.3279873285242,25,0,1,0,0,5
5,0.2,-148.46,26.375915188145832,12,2011,2,0,1205.3279873285242,28,0,2,5,2,13
9,0.15,763.155,26.375915188145832,7,2012,1,0,1205.3279873285242,17,0,0,4,2,11
5,0.3,-350.49,26.375915188145832,10,2012,0,0,1205.3279873285242,15,1,1,6,0,5
5,0.1,561.48,26.375915188145832,11,2011,3,0,1205.3279873285242,3,0,2,0,1,1
